country name,Element,Unit,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018
Spain,Production,tonnes,4819545,4865360,3981000,4719000,4881000,5654000,5315000,4626000,4062000,5449700,4562500,3967300,4534600,4302900,4436200,4064100,4806100,4082300,6039500,3408500,4410300,4267900,6052300,5328688,4392000,5791000,6514100,5468200,4773500,5467700,4357506,4972971,4302340,3138700,6040500,4676290,5436300,5083800,7293623,5007698,6822160,6290100,7096724,4026694,5521582,6436359,6714300,4804772,5941197,6876657,5189828,7744900,6471400,6362694,7873135,4875957,8322510
Sweden,Production,tonnes,906330,695500,1064510,1038000,591030,1130330,1073550,916530,962130,994930,1130090,1311930,1793100,1454630,1764640,1522330,1290060,1003050,1193320,1066310,1490410,1721250,1775700,1338000,1730510,1557800,1295500,1750800,2242900,1480900,1406300,1746200,1344700,1553800,2030000,2056200,2248700,1658900,2371900,2371500,2088100,2256200,2412300,2246800,1967400,2255700,2202200,2277900,2143000,2253100,2289300,1868600,3086400,3300400,2834500,3298600,1620300
Syria,Production,tonnes,1374175,1189585,1100000,1044000,559000,1049000,600000,1003517,624562,846276,1808000,593462,1629896,1550061,1790109,1217214,1650696,1319959,2225800,2086953,1556441,1611988,1067600,1713866,1969000,1656350,2067138,1020000,2070000,2140000,3046000,3626491,3702985,4184144,4080357,3031090,4111625,2691504,3105489,4744623,4775440,4912993,4537459,4668750,4932000,4041100,2139300,3701784,3083100,3858331,3609096,3182111,2024332.33,2677156,1626588,1850740.18,1222987.62
Tunisia,Production,tonnes,640000,800000,690000,800000,650000,550000,600000,480000,519000,660000,965000,890000,857000,935000,810000,750000,750000,680000,869000,963000,916000,618000,711330,1380000,630000,1359900,360000,420000,1122000,1786100,1584100,1412600,502600,530800,2017650,884900,1353520,1390000,842000,1118000,422200,1984000,1722000,1626700,1250600,1442800,919000,1653600,822000,1605500,1523300,975490,1513000,912570,926592,1104300,1075400
United Kingdom,Production,tonnes,3974000,3046000,3793000,4171000,3475645,3903807,3470000,3364750,4237460,4816560,4781540,5004535,6131587,4488000,4740000,5274163,6610000,7168000,8470000,8710000,10320000,10800000,14970000,12046000,13911000,11940000,11720000,14033000,14033000,14362419,14093267,12890070,13314154,14309981,16071178,15018248,15449029,14866478,16703526,11580107,15972556,14281852,15473000,14863000,14755222,13220620,17227051,14075596,14877835,15257083,13261000,11921304,16606009,16444000,14383000,14837000,13555000
Canada,Production,tonnes,15393000,19691008,16349000,17674000,22516832,16136911,17689040,18267712,9024254,14412287,14513966,16159170,13303500,17080608,23587200,19858208,21136800,17196000,19292000,24802000,26715008,26465008,21187904,24252000,31378000,25945000,15913000,24796208,32098000,31945600,29877200,27255900,22919500,24989400,29801400,24299400,24082300,26959900,26535500,20630200,15961300,23048600,24795500,25748100,25265400,20090400,28619200,26949900,23299600,25288000,27246000,37589100,29442100,27647400,32139900,30377235,32351900
China,Production,tonnes,16707100,18493747,20859709,25243492,25308507,28508872,27472126,27294958,29188672,32577354,35986554,35225929,40865746,45313042,50386232,41076295,53842395,62732521,55212839,59642710,68472314,81391570,87817368,85807133,90043693,85904702,85432957,90810047,98231940,95953581,101591334,106394921,99301440,102211429,110569193,123290085,109726066,113880088,99636127,93873234,90290262,86488264,91952238,97445196,108466271,109298296,112464292,115115364,115186178,117414034,121030059,121930527,126215211,132646335,133274638,134246679,131446596
Italy,Production,tonnes,9496900,8126800,8585800,9775900,9399600,9595600,9655400,9584600,9688600,9993900,9255000,8811400,9576700,9480000,9105800,6238300,9190500,8980300,9156000,8830300,8968300,8717400,10057300,8460700,9102100,9381000,7951900,7412900,8108500,9415660,8938421,8169800,8251400,7946080,7987241,6758351,8338301,7742800,7463968,6413300,7547763,6229453,8638721,7717129,7181720,7170181,8855440,6534746,6849858,6641806.5,7654248.3,7312024.7,7141926.4,7394494.7,8037872.1,6966465,7104650
North Korea,Production,tonnes,164000,139000,190000,184000,193000,191000,211345,224023,218633,196465,148997,99746,74198,96933,81621,44661,35705,41980,91957,57128,65812,111637,17237,10517,4545,3734,2473,1121,889,551,552,1483,2156,10262,10923,7433,4781,5626,2339,2841,5834,10011,12623,7678,5810,7351,10359,18782,39116,43677,37014,19061,23409,26433,38705,37425,25788
Turkey,Production,tonnes,8580000,10137000,8440000,8630000,9715000,10110000,9603000,10593000,10081000,13594000,12275000,10080000,11080000,14830000,16577500,16720000,16764000,17569008,16554000,17050000,17542000,16437000,17235008,17032000,19032000,18932000,20523008,16221000,20022000,20400000,19300000,21000000,17500000,18000000,18500000,18650000,21000000,18000000,21000000,19000000,19500000,19000000,21000000,21500000,20010000,17234000,17782000,20600000,19674000,21800000,20100000,22050000,19000000,22600000,20600000,21500000,20000000
